lane arrival departure
1 1.000 1.000
0 1.491 3.400
0 2.491 4.400
0 3.491 5.400
1 2.640 7.800
1 5.602 8.800
1 6.602 9.800
1 7.602 10.800
1 9.173 11.800
1 12.220 12.800
0 8.828 15.200
0 9.828 16.200
1 16.477 18.600
1 19.185 19.600
0 17.375 22.000
0 19.043 23.000
1 21.073 25.400
1 25.660 26.400
1 26.660 27.400
1 28.246 28.400
0 24.205 30.800
0 26.802 31.800
0 30.893 32.800
0 31.893 33.800
0 32.893 34.800
0 35.179 35.800
0 36.800 36.800
1 29.578 39.200
1 30.647 40.200
1 34.636 41.200
1 36.296 42.200
1 37.296 43.200
1 44.025 44.200
0 37.878 46.600
0 43.339 47.600
0 44.374 48.600
0 48.648 49.600
0 50.113 50.600
1 47.550 53.000
1 48.763 54.000
0 52.616 56.400
0 57.848 57.848
1 58.572 60.248
1 60.293 61.248
1 61.798 62.248
1 63.234 63.248
1 64.234 64.248
0 59.615 66.648
0 63.084 67.648
0 65.069 68.648
0 66.309 69.648
0 67.877 70.648
1 66.770 73.048
1 67.770 74.048
1 69.474 75.048
0 72.709 77.448
0 73.709 78.448
0 74.709 79.448
0 76.698 80.448
0 77.698 81.448
0 78.698 82.448
0 79.698 83.448
1 76.099 85.848
1 78.685 86.848
1 79.904 87.848
1 87.078 88.848
1 88.985 89.848
1 92.133 92.133
0 92.725 94.533
1 93.133 96.933
1 95.518 97.933
1 96.608 98.933
